どくとく[独特]  독특
とくちょう[特徴]  특징
まっさき[真っ先]  맨 앞; 맨 먼저
とくちょう[特長]  특장; 특징을 이루는 장점; 특별한 장점
たがやす[耕す]  갈다
たき[滝]  폭포; 급류
とくしゅ[特殊]  특수; 보편에 대해 그 개개의 경우·사물이 되는 것; 특별
たくわえる[蓄える]  대비해 두다; 저장하다; 기르다; 쌓다
もしも[若しも]  만약; 만일의 경우
たうえ[田植(え)]  모내기; 이앙
もしかして[若しかして]  →もしも; 어쩌면
ほど[程]  한계; 한도; 가치; 가치 있는 것; 정도; 쯤
どく[退く]  물러나다; 비키다
たく[炊く]  밥을 짓다; 삶다; 익히다
たく[焚く·焼く]  불을 때다; 피우다
たく[宅]  집; 우리집; 아내가 남에게 자기 남편을 일컫는 말
とうろん[討論]  토론
ただし[但し]  단; 다만
ただちに[直ちに]  곧; 즉각; 바로; 직접
とおす[通す]  통하게 하다; 내다; 뚫다
どうわ[童話]  동화
もしかしたら[若しかしたら]  어쩌면
たっする[達する]  달하다; 도달하다; 이르다; 달성하다; 이루다
だっせん[脱線]  탈선; 궤도를 벗어나다; 빗나가다; 상궤를 벗어난 행동을 하다
たった[唯]  겨우; 단지; 다만
だって  …라도; 일지라도; …도 또한; …도 역시; 하지만; 그래도; 그러나; 그런데; 하기는; 그럴 것이
たずねる[尋ねる]  찾다; 더듬어 찾다; 더듬어 밝히다
ただ[只·唯]  보통; 예사; 다만; 단; 단; 다만
とく[解く]  풀다; 매듭·묶음·엉클어짐 등을 풀다; →とける
もくよう[木曜]  목요
もぐる[潜る]  잠입하다; 자맥질하다; 잠수하다; 숨어 들다
ようす[様子]  모양; 상태; 상황; 모습; 용자
たたかう[戦う]  싸우다; 전쟁하다; 전투하다; 무기를 들고 싸우다
たに[谷]  산골짜기; 골짜기 모양을 이룬 것; 골
たちば[立場]  설 곳; 발판; 입장; 처지; 관점; 견지
もくざい[木材]  목재; 재목
たちまち[忽ち]  홀연; 곧; 금세
どうりょう[同僚]  동료
たつ[経つ]  지나다; 경과하다
とうひょう[投票]  투표
とうぶん[等分]  등분
だとう[妥当]  타당; 적절
たとえ[譬え·喩え]  비유; 또, 비유한 것
たとえる[例える]  예를 들다; 비유하다
たにん[他人]  타인; 남
とうろく[登録]  등록
とうばん[当番]  당번
まったく[全く]  완전히; 아주; 정말로; 참으로
たば[束]  다발; 뭉치; 단
たび[度]  때; 번; 때마다; 횟수; 회
とがる[尖る]  뾰족해지다; 예민해지다; 골내다
たび[足袋]  일본식 버선
たびたび[度度]  여러 번; 자주; 몇 번이고
たま[玉]  옥; 주옥; 특히, 진주; 아름다운 것; 귀중한 것; 또, 칭찬을 나타내는 말
たま[球]  구형의 것; 야구·탁구 따위의 공; 당구; 또, 당구·슬롯머신 따위의 알
たま[弾]  총알; 탄알
たま[偶·適]  어쩌다가 일어나는 모양; 드문 모양
とうなん[盗難]  도난
だいく[大工]  목수; 또, 그 일; 도편수
とうしょ[投書]  투서; 투고
たいせん[大戦]  대전; 특히, 세계 대전
とうざい[東西]  동서; 동쪽과 서쪽; 방향
たいざい[滞在]  체재; 체류
どうとく[道徳]  도덕
みょう-[明]  명…; 다음
たいし[大使]  대사
とうげ[峠]  산마루; 고개; 절정기; 고비
どうかく[同格]  동격; 똑같은 자격
だいぶぶん[大部分]  대부분; 거의
だいぶん[大分]  →だいぶ
どうさ[動作]  동작
だいじん[大臣]  대신; 장관; 太政官의 최상급의 벼슬아치
たいする[対する]  대하다; 마주 보다; 마주하다; 짝이 되다; 대조가 되다
たいせい[体制]  체제
